customer_id,page_views,time_spent,product_id,purchase_date,category,price,ratings
1,25,120,101,2023-01-01,Electronics,500,4.5
1,25,120,105,2023-01-05,Electronics,800,4.8
2,20,90,102,2023-01-02,Clothing,50,3.8
3,30,150,103,2023-01-03,Home & Kitchen,200,4.2
4,15,80,104,2023-01-04,Beauty,30,4.0
5,22,110,101,2023-01-05,Electronics,500,4.5
3,49,261,155,2023-04-19,Premium Selection,172,3.1
14,16,262,164,2023-06-26,Popular Choice,403,3.2
13,33,48,114,2023-11-17,Modern Gadget,267,3.5
18,18,248,118,2024-01-01,Fashionable Item,838,3.5
11,23,285,145,2023-02-01,Fashionable Item,179,3.0
1,21,83,117,2023-11-26,Universal Solution,47,3.7
15,20,112,187,2023-02-15,Universal Solution,294,3.6
4,23,286,119,2023-05-08,Must-Have Product,238,4.3
13,17,47,121,2023-07-12,Time-saving Tool,617,3.2
19,44,87,102,2023-05-07,Functional Gear,223,4.7
6,34,64,131,2023-10-24,Modern Gadget,141,4.9
2,40,274,182,2023-05-17,Fashionable Item,967,4.9
16,44,243,129,2023-06-04,Quality Essential,417,4.3
7,38,128,158,2023-04-15,Eco-friendly Option,443,3.5
12,43,298,196,2023-04-20,Fashionable Item,230,4.1
16,46,156,114,2023-10-21,Modern Gadget,689,4.8
15,47,101,190,2023-07-10,Fashionable Item,551,4.2
16,18,208,130,2023-12-15,Quality Essential,761,3.4
17,11,222,107,2023-10-01,Versatile Tool,449,4.4
14,17,196,157,2023-10-12,Premium Selection,996,3.5
12,33,131,149,2023-03-09,Quality Essential,820,4.4
9,22,160,154,2023-11-04,Essential Item,613,4.0
17,24,157,135,2023-03-20,Classic Product,914,4.7
5,5,257,187,2023-08-08,Timeless Piece,946,4.9
4,27,131,125,2023-12-21,Multipurpose Item,47,3.3
6,43,251,199,2023-04-24,Fashionable Item,178,4.0
11,16,195,119,2023-11-06,Functional Gear,256,3.9
16,49,58,143,2023-07-02,Modern Gadget,224,3.4
3,49,172,186,2023-07-08,Classic Product,189,3.4
4,32,212,169,2024-01-23,Innovative Device,42,3.3
3,32,162,188,2023-04-23,Time-saving Tool,298,4.1
5,19,82,153,2023-11-23,Time-saving Tool,617,4.3
11,25,190,110,2023-07-16,Eco-friendly Option,491,4.4
2,12,97,142,2023-04-19,Quality Essential,144,3.3
10,30,208,188,2023-05-23,Product A,82,4.3
8,27,244,101,2023-10-04,Universal Solution,383,3.5
13,38,107,103,2023-07-26,Multipurpose Item,146,3.2
5,12,45,110,2023-04-13,Multipurpose Item,222,4.3
2,10,264,152,2024-01-25,Quality Essential,472,4.8
10,32,73,109,2024-01-06,Versatile Tool,187,4.8
17,16,67,175,2023-10-15,Time-saving Tool,501,3.7
9,43,74,152,2023-04-27,Innovative Device,934,4.9
17,28,281,115,2023-10-12,Household Staple,258,3.3
14,30,213,127,2023-07-31,Timeless Piece,990,4.3
4,7,255,136,2023-09-05,Quality Essential,305,3.7
7,25,59,102,2023-04-09,Everyday Accessory,895,4.1
16,22,266,153,2023-08-21,Quality Essential,135,3.2
14,38,78,146,2023-09-18,Essential Item,415,4.8
20,26,139,164,2023-05-14,Popular Choice,740,3.7
8,48,197,119,2023-02-12,Essential Item,872,3.6
18,39,78,122,2024-01-26,Eco-friendly Option,500,3.4
20,10,83,186,2023-02-08,Modern Gadget,255,3.1
1,17,60,152,2023-08-22,Universal Solution,188,4.5
4,26,226,184,2023-02-10,Functional Gear,100,4.6
11,42,291,139,2023-03-12,Practical Item,395,4.1
1,5,284,136,2023-05-26,Timeless Piece,779,4.9
6,19,183,197,2023-04-12,Time-saving Tool,401,3.6
12,11,97,152,2023-12-31,Timeless Piece,992,3.8
19,44,240,132,2023-02-07,Product A,690,3.9
11,37,255,124,2023-07-17,Classic Product,942,4.3
9,36,52,153,2023-11-03,Fashionable Item,773,4.5
8,6,67,166,2023-05-05,Versatile Tool,614,4.4
5,41,160,180,2023-08-07,Classic Product,792,3.5
2,19,213,145,2023-02-26,Multipurpose Item,914,4.4
20,19,278,111,2023-09-30,Functional Gear,421,4.3
6,11,150,145,2023-02-18,Innovative Device,491,4.1
18,46,230,104,2023-12-13,Quality Essential,533,4.6
11,36,39,169,2023-05-08,Time-saving Tool,134,4.3
1,7,285,123,2023-06-16,Eco-friendly Option,64,4.2
15,10,297,101,2023-12-16,Quality Essential,322,5.0
1,14,136,152,2023-04-16,Multipurpose Item,360,3.9
15,44,48,162,2023-06-29,Everyday Accessory,44,4.4
2,13,197,106,2023-10-13,Fashionable Item,629,4.3
10,22,226,129,2023-12-04,Functional Gear,759,4.4
14,24,202,110,2023-02-17,Functional Gear,213,3.5
17,12,80,157,2023-08-26,Must-Have Product,837,4.1
19,39,107,148,2023-11-10,Product A,531,5.0
13,47,73,170,2023-10-08,Quality Essential,843,4.8
18,18,259,178,2023-06-24,Everyday Accessory,592,3.5
18,35,36,122,2023-12-23,Popular Choice,989,3.2
